 ,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations,trailer_views,trailer_likes
13474,P2,Horror-Thriller,en,A businesswoman finds herself locked with a unhinged security guard in a parking garage after getting stuck working late on Christmas Eve.,20.571,,11/9/07,3500000,7766240,98,Released,A new level of terror.,6.2,697,Rachel Nichols-Wes Bentley-Simon Reynolds-Philip Akin-Miranda Edwards-Paul Sun-Hyung Lee-Grace Lynn Kung-Philip Williams-Arnold Pinnock-Bathsheba Garnett -Franck Khalfoun-Stephanie Moore,kidnapping-parking garage-basement garage-psychopath-security guard-executive-christmas,/3mTtQSKoFNyvhbcqBUJl8tPRqMz.jpg,/aYMvNOHPozMqpRu76EmzCH0PksC.jpg,10294-13515-9792-9796-806-11152-18405-9276-9793-13186-23437-11932-21208-10065-14001-9913-11351-10665-10066-28355-588,3420388.075,2548308.101
9919,How to Lose a Guy in 10 Days,Comedy-Romance,en,It’s the battle of wills as Andie (Kate Hudson) needs to prove she can dump a guy in 10 days whereas Ben (Matthew McConaughey) needs to prove he can win a girl in 10 days. Now the clock is ticking - and the wildly entertaining comedy smash is off and running in this irresistible tale of sex lies and outrageous romantic fireworks!,20.56,Paramount,2/7/03,50000000,17750238.7,116,Released,One of them is lying. So is the other.,6.735,3294,Kate Hudson-Matthew McConaughey-Kathryn Hahn-Annie Parisse-Adam Goldberg-Thomas Lennon-Michael Michele-Shalom Harlow-Robert Klein-Bebe Neuwirth-Samantha Quan-Justin Peroff-Celia Weston-James Murtaugh-Rebecca Harris-Archie MacGregor-John DiResta-Scott Benes-Zachary Benes-William Hill-Georgia Craig-Liliane Montevecchi-James Mainprize-Tony Longo-Warner Wolf-Doug Murray-Natalie Brown-Andrew Moodie-David Macniven-Ross Gallo-Gina Sorell-Ingrid Hart-Marvin Hamlisch,new york city-bet-journalist-therapist-advertising expert-relationship,/cCJA1nfLZEs13xKD3syWb86ysgx.jpg,/edvi0YMVulAnUK5d9oVAPdFIMAB.jpg,122252-10096-2018-10521-12556-18240-9029-20943-1493-6877-6557-10025-9880-8835-4951-20048-41630-11130-10184-1824-9007,5690623.279,4727321.27
15262,Boogeyman 3,Horror-Thriller,en,When a college student witnesses the alleged suicide of her roommate it sets into motion a series of horrific events that cause her to fear the supernatural entity. As she tries to convince the rest of her dorm that the Boogeyman does exist the evil force grows stronger and her friends begin to pay the price. Now she must stop this ultimate evil before the entire campus falls prey.,20.541,Ghost House Pictures-Stage 6 Films-B and G Derivatives Holdings,10/17/08,0,156941,94,Released,,5.2,190,Erin Cahill-Chuck Hittinger-Mimi Michaels-Matt Rippy-Nikki Sanderson-W.B. Alexander-Elyes Gabel-George Maguire-Jayne Wisener-Kate Maberly-Todd Jensen-Nikolai Sotirov-Jonas Talkington-Tobin Bell-Galina Talkington-Tatyana Kuncheva-Alexandra Zlatanova-Vrunda Patel-Desi Malcheva-Seema Jaga-John Laskowski,boogeyman,/iOCBPiNeQ7tPuQDwxapNYuSLKT5.jpg,/jLA97pGBx2FtjNWGVq3SO8RtK6r.jpg,14913-9669-8968-10320-2671-565-8922-4247-824806-1011566-61012-1691-13186-10065-9373-14001-28355-9792-9902-9286-65086,89791.1368,38876.17978
245703,Midnight Special,Adventure-Drama-Science Fiction,en,A father and son go on the run after the dad learns his child possesses special powers.,20.538,Warner Bros. Pictures-FilmNation Entertainment-Faliro House Productions-RatPac Entertainment-Tri-State Pictures,2/12/16,18000000,6740647,112,Released,He's not like us.,6.2,1661,Michael Shannon-Jaeden Martell-Joel Edgerton-Kirsten Dunst-Adam Driver-David Jensen-Sam Shepard-Scott Haze-Dana Gourrier-Paul Sparks-Kerry Cahill-Bill Camp-Billy Slaughter-Lucy Faust-Sean Bridgers-Allison King-Sharon Landry-Sharon Garrison-James Moses Black-Yvonne Landry-Maureen Brennan-Ann Mahoney-Garrett Hines-Wayne Pére-Dane Rhodes-Lee Zurik-Nicondra Norwood-Sam Malone-Sean Kaplan-James DuMont-Nancy Grace-Lynn Berry-Alexander Eldimiati-D'Arcy Allen-John L. Armijo-Michelle Benet,helicopter-parent child relationship-gas station-hostage-fbi-motel-chase-meteor-government-on the run-shootout-military-religious cult-child kidnapping-goggles,/hgDRq1l4ATxwufWjILKsYtglbI6.jpg,/akfExB9nb79hphVLd3aM64h9ZES.jpg,12247-333371-64720-333352-270487-146198-313922-283235-103731-319888-342521-338766-339419-303858-300673-278927-323676-68735-371645-254302-267935,1004661.071,2041899.606
184346,Deliver Us from Evil,Thriller-Crime-Horror,en,When a frightening wave of violence sweeps through New York City troubled cop Sarchie fails to find a rational explanation for the bizarre crimes. However his eyes are opened to a frightening alternate reality when renegade Jesuit priest Mendoza convinces him that demonic possession may be to blame for the gruesome murders. Together they wage a valiant supernatural struggle to rid the city of an otherworldly evil.,20.537,Jerry Bruckheimer Films-Screen Gems-LStar Capital,7/1/14,30000000,8793781.5,118,Released,You haven't seen true evil.,6.2,1811,Eric Bana-Olivia Munn-Edgar Ramírez-Joel McHale-Sean Harris-Chris Coy-Dorian Missick-Mike Houston-Lulu Wilson-Antoinette LaVecchia-Scott Johnsen-Valentina Rendón-Daniel Sauli-Olivia Horton-Sean Bennett-Lolita Foster-Sean Nelson-Raiden Integra-John Cenatiempo-Jenna Gavigan-Victor Pagan-Ben Livingston-John Cariani-Tijuana Ricks-Ivan Cardona-Umar Khan-Carol Stanzione-Steve Hamm-Mark David Watson-Robert Keiley-Adam Kobylarz-Aidan Gemme-Mari-Ange Ramirez-Blair Sams-Ben Horner-Sebastian La Cause-Kevin Nagle-Lauro Chartrand-John Auer-Joseph Basile-José Báez-Mikhael DeVille-Dennis Jay Funny-Joseph Anthony Jerez-Amra Mallassi,detective-confession-cave-lion-zoo-bible-iraq war veteran-basement-priest-possessed-demon-catholic-occult-police investigation-demonic possession-neo-noir-security video,/Uz32ERsyCmGwV8Eg2wmT2ooWpo.jpg,/yaJUmPdXc8TSfMEhomz5oehgAFG.jpg,613093-288158-269494-242512-227348-256274-203834-79550-280092-157547-250546-77883-82507-50497-207774-523139-243688-60950-283445-193612-91586,4013931.377,1877146.612
103663,The Hunt,Drama,da,A teacher lives a lonely life all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie.,20.529,Zentropa Entertainments-Det Danske Filminstitut-DR-Eurimages-MEDIA Programme of the European Union-Svenska Filminstitutet-SVT-Film i Väst-Nordisk Film & TV Fond,10/25/12,3800000,18309793,116,Released,The lie is spreading.,8.1,3481,Mads Mikkelsen-Thomas Bo Larsen-Annika Wedderkopp-Lasse Fogelstrøm-Susse Wold-Anne Louise Hassing-Lars Ranthe-Alexandra Rapaport-Sebastian Bull Sarning-Steen Ordell Guldbrandsen-Daniel Engstrup-Troels Thorsen-Søren Rønholt-Hana Shuan-Jytte Kvinesdal-Josefine Gråbøl-Bjarne Henriksen-Nicolai Dahl Hamilton-Øyvind Hagen-Traberg-Allan Wibor Christensen-Rikke Bergmann-Rasmus Lind Rubin-Frank Rubæk-Jacob Højlev Jørgensen-Nina Christrup-Birgit Petersen-Karina Fogh Holmkjær-Heidi Gross-Marie Aktor-Mona C. Soliman-Mie Ravn Nielsen-Kim Westi Rasmussen-Thomas Ravn-Katrine Brygmann-Ole Dupont,parent child relationship-lie-pedophilia-kindergarten-father-teacher-school-pedophile-divorce,/jkixsXzRh28q3PCqFoWcf7unghT.jpg,/7zN7m5jEyrNxFYm2EbQJAZwAG5i.jpg,665388-605121-50336-1013982-27122-1955-385598-275-582-146233-670-7345-25376-60243-5206-46738-424781-11423-120467-423-152532,4744315.79,3621947.69
14506,The Adventures of Baron Munchausen,Action-Adventure-Comedy-Fantasy-Family,en,An account of Baron Munchausen's supposed travels and fantastical experiences with his band of misfits.,20.524,Columbia Pictures-Laura Films-Allied Filmmakers-Prominent Features,12/7/88,46630000,8083123,126,Released,Remarkable. Unbelievable. Impossible. And true.,6.9,735,John Neville-Eric Idle-Sarah Polley-Oliver Reed-Charles McKeown-Winston Dennis-Jack Purvis-Valentina Cortese-Jonathan Pryce-Bill Paterson-Peter Jeffrey-Uma Thurman-Alison Steadman-Ray Cooper-Don Henderson-Robin Williams-Sting-Andrew MacLachlan-José Lifante-Mohamed Badrsalem-Kiran Shah-Franco Adducci-Ettore Martini-Antonio Pistillo-Michael Polley-Tony Smart-Laura D'Arista Adam-Calogero Azzaretto-Angelo Casadei-Martin Dansky-Terry Gilliam-Alba Maiolini-Franca Scagnetti-Luciano Zanussi,moon-based on novel or book-monster-surreal-hot air balloon-satire-baron-steampunk-cult film-story telling-european-roman mythology,/oiOwGRqwrKpg1EMUlPgRjVC49bn.jpg,/mBh3NXCkSCasZGovzAuc9UlFCru.jpg,106806-36819-160532-11834-68-177-10705-888321-10141-378-849-623-11379-2756-18129-11005-287-10161-8337-1554-9556,2315980.305,522232.7424
4643,The Guardian,Drama-Action,en,A high school swim champion with a troubled past enrolls in the U.S. Coast Guard's 'A' School where legendary rescue swimmer Ben Randall teaches him some hard lessons about loss love and self-sacrifice.,20.519,Touchstone Pictures-Beacon Pictures-Contrafilm-Firm Films-Eyetronics-A School Productions,9/28/06,10000000,9497354,139,Released,How Do You Decide Who Lives Or Who Dies?,7.1,1291,Kevin Costner-Ashton Kutcher-Sela Ward-Melissa Sagemiller-Dulé Hill-Bryce Cass-Omari Hardwick-Clancy Brown-Neal McDonough-Benny Ciaramello-Shelby Fenner-Peter Gail-Damon Lipari-Scott Mueller-Travis Willingham-Eric Norris-John Heard-Richard T. Henry-Alex Daniels-Daniel J. Molthen-Andrew Schanno-Adam Pena-Joe Arquette-Gary Billburg-Joshua Mitcheltree-Rusty Tennant-James Barnes-Stephanie Barnes-Andrea Martynowski-Ron Fien-Nevada Smith-Jay Bingham-Keith Sweitzer-Shane Walker-Joseph Blythe-Robert E. Watson-John F. Hall-Johnell Gainey-Jeff Loftus-Brian Geraghty-Michael Rady-Brian Patrick Wade-El Raziel-Matt Laub-Matthew L. Rucker-Tanica Jamison-Paul Wallace-Tilky Jones-Megan Melgaard-Jacob Stevens-Austin Lash-Mark Gangloff-Gregory J. Barnett-Kenny G. Krauss-Gioacchino Brucia-J.D. Evermore-Bonnie Bramlett-Richard Davis-Brandon Molale-Thomas Rosales Jr.-Roger Edwards,ocean-coast guard-rescue-disaster-death,/iFOw9bXeLM6a2WbI7T1ytF8o0Wn.jpg,/txXDkDa6Nk8fA2yM8h5HkLYgPsA.jpg,4916-9503-8367-12090-778810-10207-3877-9257-9804-44048-37821-10478-9766-819309-9029-9291-82-7364-11978-11968-9361,3032201.423,4342678.029
9763,Goal!,Drama,en,Like millions of kids around the world Santiago harbors the dream of being a professional footballer... However living in the Barrios section of Los Angeles he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.,20.517,Toshiba Entertainment-Touchstone Pictures-Milkshake Films-Little Magic Films,9/29/05,10000000,27610873,118,Released,Every Dream Has A Beginning,6.7,938,Kuno Becker-Alessandro Nivola-Anna Friel-Stephen Dillane-Gary Lewis-Kieran O'Brien-Sean Pertwee-Marcel Iureș-Tony Plana-Miriam Colon-Kate Tomlinson-Emma Field-Rayner-Zachary Johnson-Frances Barber-Kevin Knapman-Stephen Graham-Nicholas Lumley-Leslie Randall-Jorge Cervera Jr.-Steven Gerrard-David Beckham,restaurant-sports-coach-football (soccer)-computer game,/9YZhJGoIbJtrjDYbENGhR6f6SZE.jpg,/hpuWR2rfcjRMni6HLtxPet4o4P4.jpg,9815-19139-21972-8923-8456-42433-21641-9291-48415-9615-10599-8275-8277-245913-1367-8274-38745-13804-1817-11011-7840,9745823.186,9664242.319
155084,13 Sins,Horror-Thriller,en,Drowning in debt as he's about to get married a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.,20.504,Sahamongkol Film International-Dimension Films-IM Global-Automatik Entertainment-RADiUS-TWC-Little Magic Films,4/11/14,5000000,13809,93,Released,You don't play the game. It plays you.,6.3,947,Mark Webber-Devon Graye-Ron Perlman-Rutina Wesley-Pruitt Taylor Vince-Christopher Berry-Tom Bower-Ritchie Montgomery-John McConnell-Judd Lormand-Sabrina Gennarino-Clyde Jones-Deneen Tyler-Lance E. Nichols-Danny Cosmo-Tom Lawson Jr.-Brylee Kate Woodard-Robert Larriviere-Stephanie Honoré-Jenn Foreman-Brittney Alger-Angela Jones-Sharon Smith-Greg Pearson-Richard Burgi-George Coe,hotel-detective-hostage-blackmail-new orleans louisiana-coffee shop-arrest-game-unemployment-warehouse-dare-desperate-brother brother relationship-violence-anonymous caller,/x4tC1s6oFG9nEyxVSM0FiIsLea1.jpg,/67WVW36tcLYnY2ONzbxh7gEfohh.jpg,55861-50497-79550-101176-60950-207774-69270-309919-101179-15052-97051-159128-22175-101669-27588-288158-353345-146243-150202-227348-210947,3805.64856,3997.584382
2252,Eastern Promises,Thriller-Crime-Mystery,en,A Russian teenager living in London dies during childbirth but leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.,20.502,Focus Features-BBC Film-Astral Media-Corus Entertainment-Téléfilm Canada-Serendipity Point Films-Scion Films-Shine Pictures-Kudos,9/14/07,51500000,5610660.7,101,Released,Every sin leaves a mark.,7.4,2823,Viggo Mortensen-Naomi Watts-Vincent Cassel-Armin Mueller-Stahl-Sinéad Cusack-Donald Sumpter-Jerzy Skolimowski-Josef Altin-Mina E. Mina-Aleksandar Mikic-Sarah-Jeanne Labrosse-Tatiana Maslany-Tereza Srbova-David Papava-Tamer Hassan-Raza Jaffrey-Elisa Lasowski-Alice Henley-Tony Cook,london england-prostitute-jealousy-parent child relationship-hitman-diary-gangster-human trafficking-midwife-russian mafia-murder-orphan-brutality-motorcycle-bathhouse,/dpiJWb4NrWgcOg2rusuLhDM0hTm.jpg,/n8qBEB8gMTrtm8O0DTTw8xEiUcb.jpg,59-934685-817453-758437-804219-442184-388999-885852-871053-972152-970359-45518-172011-83539-1946-675235-499910-9540-2742-148782-470,1936181.602,1346277.523
458594,Peppermint,Action-Thriller,en,A grieving mother transforms herself into a vigilante following the murders of her husband and daughter eluding the authorities to deliver her own personal brand of justice.,20.5,Lakeshore Entertainment-Huayi Brothers Pictures-STX Entertainment,9/6/18,25000000,5391872.3,102,Released,The system failed. She won't.,6.7,1806,Jennifer Garner-John Gallagher Jr.-John Ortiz-Juan Pablo Raba-Annie Ilonzeh-Jeff Hephner-Cailey Fleming-Eddie Shin-Method Man-Tyson Ritter-Ian Casselberry-Richard Cabral-Johnny Ortiz-Michael Reventar-Kyla-Drew-Gustavo Escobar-Pell James-John Boyd-Michael Mosley-Jeff Harlan-Chris Johnson-Caspar Brun-Edilsy Vargas-YaYa Gosselin-Tate Birchmore-Michael Adler-Denney Pierce-Erin Carufel-C.C. Taylor-Randy Gonzalez-Christopher M. Campos-Sean A. Rosales-Austin Hébert-Charles Porter-Sam Upton-Samantha Edelstein-Donnie Smith-A. Russell Andrews-Joy Benedict-Kimberly Cheng-Lasaundra Gibson-Markina Brown-Mel Fair-Nilla Elizabeth Watkins-Arnold Chon-Gary Sievers-Loretta Shenosky-Pablo Ramos-James Quach-Hans Marrero-Tony Jacobsen-Ashley Gibson-Andy Casillas-Christopher Baskerville-Amir Abdalla-Laura Diaz-Roland Feliciano-Mario Cortez-Victor Winters-George Crayton-William Leong-Edwin Garcia II-Josue Barron-Jesus Trujillo-Morris Greco-Hunter Wright-Emma Thoraval,coma-handcuffs-bus-cemetery-fbi-grave-widow-vigilante-alcoholism-revenge-murder-flashback-drug cartel-hospital-police corruption-torture-skid row-corrupt official-loss of child-corrupt judge-driveby shooting,/jrzxS0vcbzIIay1sdYm0rgI2QfJ.jpg,/wCZXqPget92sP8j03WPyldtQ90f.jpg,347375-318954-345887-346910-489999-399402-484247-425505-447200-345940-454992-500664-454293-335983-463821-400535-463272-375588-446807-412988-428078,3404454.009,221913.7984
59962,This Means War,Action-Comedy-Romance,en,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,20.489,Dune Entertainment-Overbrook Entertainment-Robert Simonds Productions,2/14/12,65000000,15697455.7,98,Released,It's SPY Against SPY,6.146,3064,Reese Witherspoon-Chris Pine-Tom Hardy-Laura Vandervoort-Angela Bassett-Kasey Ryne Mazak-Warren Christie-Natassia Malthe-Til Schweiger-Chelsea Handler-John Paul Ruttan-Abigail Spencer-Rosemary Harris-George Touliatos-Clint Carleton-Jenny Slate-Leela Savasta-Derek Waters-Mike Dopud-Daren A. Herbert-Kevin O'Grady-Jesse Reid-Viv Leacock-Rebel Wilson-Paul Wu-Kasey Ryne Mazak-Kevan Ohtsji-Dominique Brownes-Aleks Paunovic-Joey Forfellow-Elizabeth Weinstein-Ash Lee-Jakob Davies-Lauren Watson-Paul Becker-Louise Hradsky-Jennifer Oleksiuk-Kirstyn König-Daniela Dib-Stefania Spampinato-Emilie Ullerup-Tyrell Witherspoon-Valin Shinyei-Michael Papajohn,love triangle-friendship-dating-sushi bar-exploding airplane-online dating-karate class-animal shelter,/7d1hwECRc1NZlGfAeYE42ki7Fem.jpg,/crDw9fmbelWgmftnVCKobQHYywI.jpg,37834-585268-919689-161337-37821-50546-87826-35056-54054-52451-18240-50646-64688-72570-77866-9029-50544-82675-52449-41630-90616,7957737.795,3679992.232
10156,History of the World: Part I,Comedy,en,An uproarious version of history that proves nothing is sacred – not even the Roman Empire the French Revolution and the Spanish Inquisition.,20.488,Brooksfilms-20th Century Fox,6/12/81,11000000,31672907,92,Released,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!",6.8,650,Mel Brooks-Dom DeLuise-Madeline Kahn-Harvey Korman-Cloris Leachman-Ron Carey-Gregory Hines-Pamela Stephenson-Shecky Greene-Sid Caesar-Mary-Margaret Humes-Orson Welles-Rudy De Luca-Leigh French-Richard Karron-Susette Carroll-Sammy Shore-J.J. Barry-Earl Finn-Suzanne Kent-Michael Champion-Howard Morris-Charlie Callas-Dena Dietrich-Paul Mazursky-Jack Riley-Art Metrano-Diane Day-Henny Youngman-Hunter von Leer-Fritz Feld-Hugh Hefner-Pat McCormick-Barry Levinson-Johnny Silver-John Hurt-Jeana Keough-Heidi Sorenson-Lori Sutton-Jackie Mason-Phil Leeds-Jack Carter-Spike Milligan-John Hillerman-Sydney Lassick-Fiona Richmond-Nigel Hawthorne-Bea Arthur-Cleo Rocos-Ron Clark-Andréas Voutsinas-Lisa Welch-Carl Reiner,inquisition-moses-roman empire-french revolution-musical-stone age-anthology-cavemen-18th century-louis xvi-peplum-timeline-nero-prehistory-15th century-spanish inquisition,/6iAl78qZHT65erPXr2YW6Y54wlY.jpg,/3OzxvNXpjEvlEHbpl6poaKu5byl.jpg,12535-11072-22998-957-8005-30197-12110-3034-10970-973164-11566-9267-9899-9080-36819-6471-13667-37137-10890-2665-623,15282889.14,11542493.21
280996,Mr. Holmes,Drama-Crime,en,In 1947 long-retired and near the end of his life Sherlock Holmes grapples with an unreliable memory and must rely on his housekeeper's son as he revisits the still-unsolved case that led to his retirement.,20.472,BBC Film-See-Saw Films-FilmNation Entertainment-Archer Gray-AI Film,6/19/15,11000000,29355203,104,Released,The man behind the myth.,6.5,1682,Ian McKellen-Laura Linney-Milo Parker-Hiroyuki Sanada-Roger Allam-Frances de la Tour-Hattie Morahan-Phil Davis-Patrick Kennedy-John Sessions-Frances Barber-Charles Maddox-Takako Akashi-Zak Shukor-Michael Culkin-David Foxxe-Oliver Devoti-Mike Burnside-Nicholas Rowe-Sam Coulson-Hermione Corfield-Kit Connor-Zoe Rainey-Eileen Davies-Colin Starkey-Sarah Crowden-Elizabeth Jane Cassidy-Ben Farrow-John Carr-Johnny Otto,london england-detective-based on novel or book-memory loss-sherlock holmes,/iNnHMoj2oldH7O9uL08iGhfHzh.jpg,/dqRwVrZeRKzRQZI5keNilDpDklS.jpg,7092-379170-296098-275601-249070-321697-270487-203801-266647-273248-274479-271718-286217-328425-238615-102899-166424-10528-249688-257344-177677,5998345.295,11295755.51
11529,Sweet Home Alabama,Comedy-Romance,en,New York fashion designer Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But her past holds many secrets—including Jake the redneck husband she married in high school who refuses to divorce her. Bound and determined to end their contentious relationship once and for all Melanie sneaks back home to Alabama to confront her past.,20.471,Touchstone Pictures-Original Film-D&D Films-Pigeon Creek Films,9/26/02,30000000,18062242.4,108,Released,Sometimes What You're Looking For Is Right Where You Left It.,6.4,1328,Reese Witherspoon-Josh Lucas-Patrick Dempsey-Candice Bergen-Mary Kay Place-Fred Ward-Jean Smart-Ethan Embry-Melanie Lynskey-Courtney Gains-Mary Lynn Rajskub-Rhona Mitra-Nathan Lee Graham-Sean Bridgers-Fleet Cooper-Kevin Sussman-Thomas Curtis-Dakota Fanning-Mark Skinner-Michelle Krusiec-Phil Cater-Michael Snow-Bob Penny-Mark Matkevich-Lee Roy Giles-Afemo Omilami-Kevin Hagan-Dennis Ryan-Jim O'Connor-Leslie Hendrix-Tony Rizzoli-Bob Seel-Kelsey Lowenthal-Jen Apgar-Sarah Baker-Deborah Duke-Ted Manson-Sharon Blackwood-Suzi Bass-Don Young-Jody Thompson-Dionne Gipson-Doug Killen-Emily Furman-Pete Talton-Kelly Franklin-Keni Thomas-Jeanne Arnold-Osjha Anderson-Charlotte Pierrepont-Traci Ann Wolfe-Jana Lynn Schoep-Eddy Donno-Colin Ford-Katharine Towne,new york city-marriage proposal-alabama-career woman-fashion designer,/698cbxq0SRwCdOPG5Bwi7JDk12d.jpg,/xE0ouu4yVA4fBojdHg2UkfvRxY4.jpg,1004642-44507-10761-11355-9007-6557-2064-6961-14926-9816-8835-10327-9919-2018-20943-6877-1588-1493-2642-18240-11812,2045719.208,6462783.751
9542,The Hitcher,Horror-Action-Thriller,en,On a stormy night young Jim who transports a luxury car from Chicago to California to deliver it to its owner feeling tired and sleepy picks up a mysterious hitchhiker who has appeared out of nowhere thinking that a good conversation will help him not to fall asleep. He will have enough time to deeply regret such an unmeditated decision.,20.47,Feldman/Meeker Productions,1/17/86,6000000,5844868,98,Released,Never pick-up a stranger.,7,731,Rutger Hauer-C. Thomas Howell-Jennifer Jason Leigh-Jeffrey DeMunn-Billy Green Bush-John M. Jackson-Henry Darrow-Jon Van Ness-Jack Thibeau-Armin Shimerman-Gene Davis-Tony Epper-Tom Spratley-Colin Campbell,falsely accused-gun-gas station-mass murder-cop-killer-paranoia-highway-sadism-psychopath-road trip-serial killer-man hunt-hitchhiker-desert-cult film-road movie-truck stop,/jj9VF7GL3rLXHfoa8oQ4ioNT8GZ.jpg,/ngLiBRgcfq3QnTmihh1v3EJyLV0.jpg,20381-635-22021-11838-12476-11893-9874-11879-1551-14240-13312-11797-21309-8913-814-8408-10585-30874-941-849-9964,2926017.589,1836780.607
2789,The Chronicles of Riddick,Action-Science Fiction,en,After years of outrunning ruthless bounty hunters escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now waging incredible battles on fantastic and deadly worlds this lone reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.,20.469,Radar Pictures-One Race-Primal Foe Productions,6/11/04,105000000,11577273.3,119,Released,All the power in the universe can't change destiny,6.5,3542,Vin Diesel-Thandiwe Newton-Karl Urban-Alexa Davalos-Colm Feore-Linus Roache-Keith David-Yorick van Wageningen-Nick Chinlund-Roger Cross-Kim Hawthorne-Judi Dench-Mark Gibbon-Terry Chen-Christina Cox-Nigel Vonas-Raoul Ganeev-Alexis Llewellyn-Charles Zuckermann-Kristin Lehman,prison-dystopia-matter of life and death-space-intergalactic travel,/iSaB7jBgsU6sXqKneZpdeRw5MSV.jpg,/lt3NqorBMWn786m9bzqM0OLdMS8.jpg,2787-87421-221110-12437-277-834-36648-9381-36647-10199-2791-14869-20504-36668-1571-52520-64635-36586-2080-36657-13475,5603050.95,4831759.65
11281,Halloween II,Horror,en,After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis Michael Myers has followed Laurie to the Haddonfield Memorial Hospital where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers however as Myers cuts stabs and slashes his way through hospital staff to reach his favorite victim.,20.466,Universal Pictures-Dino De Laurentiis Company,10/30/81,2500000,25533818,92,Released,The nightmare isn't over!,6.6,1718,Jamie Lee Curtis-Donald Pleasence-Charles Cyphers-Jeffrey Kramer-Lance Guest-Pamela Susan Shoop-Ana Alicia-Kyle Richards-Tawny Moyer-Anne-Marie Martin-Nancy Stephens-Leo Rossi-Cliff Emmich-Hunter von Leer-Ty Mitchell-Nancy Loomis-Ford Rainey-Dick Warlock-Gloria Gifford-Anne Bruner-Dana Carvey-Lucille Benson-Billy Warlock-Jack Verbois-Adam Gunn-Pamela McMyler-Dennis Holahan-Howard Culver-John Zenda-Ken Smolka-Roger Hampton-Robin Coleman-Tony Moran-Brian Andrews-Helen Kelly-Kim Gottlieb-Don Ramey Logan-Nancy Platt Jacoby-Lance Warlock,sheriff-mask-halloween-sequel-hospital,/gL3dPbbZInWn4U9jd87uoFGOdot.jpg,/6NfnrrZNzJzgXFHOHMrEFSdZqe8.jpg,10676-11361-11675-10987-11442-948-1035583-11357-24150-2082-838594-513980-9725-411135-9728-9730-424139-4488-9731-10225-10281,15556755.45,6905152.533
49049,Dredd,Action-Science Fiction,en,In the future America is a dystopian wasteland. The latest scourge is Ma-Ma a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges who combine the duties of judge jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge Dredd discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.,20.466,Rena Film-DNA Films-Reliance Big Entertainment-IM Global-Peach Trees,9/7/12,50000000,41037742,95,Released,Judgement is coming,6.8,4452,Karl Urban-Olivia Thirlby-Lena Headey-Wood Harris-Langley Kirkwood-Tamer Burjaq-Joe Vaz-Rakie Ayola-Junior Singo-Luke Tyler-Jason Cope-Domhnall Gleeson-Warrick Grier-Rachel Wood-Andile Mngadi-Porteus Xandau-Emma Breschi-Shoki Mokgapa-Yohan Chun-Eden Knowles-Desmond Lai Lan-Deobia Oparei-Patrick Lyster-Travis Snyders-Scott Sparrow-Marty Kintu-Nicole Bailey-Daniel Hadebe-Francis Chouler-Edwin Perry-Karl Thaning-Michele Levin-Chad Phillips,corruption-crime fighter-judge-metropolis-gangster-post-apocalyptic future-dystopia-executive case-police-futuristic-based on comic-survival-criminal-justice-drug lord-based on graphic novel-female villain,/wLx65gtGVnUFCxceHWGszcruCZj.jpg,/yeF9ewBnFp9d5nqdHMic4IAOqrs.jpg,64635-59967-534-87421-2787-49529-9482-41154-49040-44833-44943-56292-20526-27578-97020-23483-956947-2789-49849-76163-20504,7106262.369,16319355.85
